ord,emm,mun,yr,dextra,edon,inegi,ife,part,dmujer,incumbent,race.after,runnerup,part2nd,mg,ddied,drepe,drepg,dlegacy,who,prior.inc.part,inc.part.after,notes,source
84,ags-12.007,RINCON DE ROMOS,2004,0,1,1007,1007,pri-pvem-pt,0,JUAN MANUEL MENDEZ NORIEGA,Term-limited-p-won,,pan,0.163724555,0,0,0,,,incumbent out,incumbent out,,
85,ags-13.007,RINCON DE ROMOS,2007,0,1,1007,1007,pvem,0,UBALDO TREVIÑO SOLEDAD,Term-limited-p-won,,pan-pna,0.009248719,0,0,0,,,incumbent out,incumbent out,,
86,ags-14.007,RINCON DE ROMOS,2010,0,1,1007,1007,pri-pvem-pna,0,ROBERTO ROMO MARIN,Term-limited-p-lost,,pt,0.217794924,0,0,0,,,incumbent out,incumbent out,,
87,ags-15.007,RINCON DE ROMOS,2013,0,1,1007,1007,pt,0,FERNANDO MARMOLEJO MONTOYA,Term-limited-p-won,LUIS RUBEN ROMO MARIN,pna,0.115976901,0,0,0,,,incumbent out,incumbent out,,
88,ags-16.007,RINCON DE ROMOS,2016,0,1,1007,1007,pri-pt-pna,0,FRANCISCO JAVIER RIVERA LUEVANO,Reran-beaten,HUMBERTO RODRIGUEZ CASTORENA,pan,0.018156071,0,0,0,,,incumbent out,pna,,
89,ags-17.007,RINCON DE ROMOS,2019,0,1,1007,1007,pan,0,JESUS PRIETO DIAZ,Out-p-lost,FRANCISCO JAVIER RIVERA LUEVANO,pna,0.035301468,0,0,0,,,pna,incumbent out,,
90,ags-18.007,RINCON DE ROMOS,2021,0,1,1007,1007,pt-morena-pna,0,FRANCISCO JAVIER RIVERA LUEVANO,Out-p-won,JUANA CASTILLO ROMO,pan-prd,0.084021298,1,1,1,,,incumbent out,2024,Died car crash 21sep2023,
91,ags-19.007,RINCON DE ROMOS,2024,0,1,1007,1007,morena,0,ERIK MURO SANCHEZ,2027,HECTOR CASTORENA ESPARZA,pan-pri-prd,0.030331713,,,,,,,,,computos pre trife
96,ags-11.008,SAN JOSE DE GRACIA,2001,0,1,1008,1008,pt,0,FIDEL MARTINEZ REYES,Term-limited-p-lost,,pan,0.055243136,0,0,0,,,incumbent out,incumbent out,,
97,ags-12.008,SAN JOSE DE GRACIA,2004,0,1,1008,1008,pan,0,PEDRO ARMENDARIZ GARCIA,Term-limited-p-won,,prd-conve,0.20816944,0,0,0,,,incumbent out,incumbent out,,
98,ags-13.008,SAN JOSE DE GRACIA,2007,0,1,1008,1008,pan-pna,0,ARMANDO RODRIGUEZ DOMINGUEZ,Term-limited-p-won,,pri,0.029076087,0,0,0,,,incumbent out,incumbent out,,
99,ags-14.008,SAN JOSE DE GRACIA,2010,0,1,1008,1008,pri-pvem-pna,0,JUAN ANTONIO HERNANDEZ VALDIVIA,Term-limited-p-won,,pt,0.123311226,0,0,0,,,incumbent out,incumbent out,,
100,ags-15.008,SAN JOSE DE GRACIA,2013,0,1,1008,1008,pna,0,ANTONIO ALBERTO MARTINEZ RODRIGUEZ,Term-limited-p-lost,HECTOR GARCIA GARCIA,pri,0.138038726,0,0,0,,,incumbent out,incumbent out,,
101,ags-16.008,SAN JOSE DE GRACIA,2016,0,1,1008,1008,pan,1,MARIA CRISTINA LOPEZ GONZALEZ,Reelected,LUPINA GONZALES GARCIA,pri-pt-pna,0.077505113,0,0,0,,,incumbent out,pan,,
102,ags-17.008,SAN JOSE DE GRACIA,2019,0,1,1008,1008,pan,1,MARIA CRISTINA LOPEZ GONZALEZ,Term-limited-p-lost,SILVIA SANTOS NAJERA,morena,0.256389776,0,1,1,,,pan,incumbent out,,
103,ags-18.008,SAN JOSE DE GRACIA,2021,0,1,1008,1008,fxm,0,ARMANDO RODRIGUEZ DOMINGUEZ,Out-p-lost,JUDITH MENDEZ CARDONA,pan-prd,0.029042533,1,1,1,,,incumbent out,2024,Died 27sep2022 found hanged inside palacio mun,
104,ags-19.008,SAN JOSE DE GRACIA,2024,0,1,1008,1008,pan-pri-prd,1,LAURA ARACELI GONZALEZ REYES,2027,LUIS MAMUEL REYES GONZALEZ,mc,0.118185079,,,,,,,,,computos pre trife
109,ags-11.009,TEPEZALA,2001,0,1,1009,1009,pri,0,PEDRO SANTILLAN NIETO,Term-limited-p-lost,,pan,0.163085594,0,0,0,,,incumbent out,incumbent out,,
110,ags-12.009,TEPEZALA,2004,0,1,1009,1009,pan,0,JORGE CRUZ PERALTA,Term-limited-p-won,,pri-pvem-pt,0.084013297,0,0,0,,,incumbent out,incumbent out,,
111,ags-13.009,TEPEZALA,2007,0,1,1009,1009,pan-pna,0,CANDIDO LOZA LOZA,Term-limited-p-won,,pri,0.008953168,0,0,0,,,incumbent out,incumbent out,,
112,ags-14.009,TEPEZALA,2010,0,1,1009,1009,pri-pvem-pna,0,JESUS SANTILLAN MEDINA,Term-limited-p-won,,pan,0.093620648,0,0,0,,,incumbent out,incumbent out,,
113,ags-15.009,TEPEZALA,2013,0,1,1009,1009,pri,0,PABLO MACIAS FLORES,Term-limited-p-lost,,pna,0.03646051,0,0,0,,,incumbent out,incumbent out,,
114,ags-16.009,TEPEZALA,2016,0,1,1009,1009,pvem,0,OMAR ISRAEL CAMARILLO,Reelected,MARICELA MACIAS GONZALEZ,pan,0.006213018,0,0,0,,,incumbent out,pvem,,
115,ags-17.009,TEPEZALA,2019,0,1,1009,1009,pvem,0,OMAR ISRAEL CAMARILLO,Term-limited-p-won,MARICELA MACIAS GONZALEZ,pan,0.062320319,0,1,1,,,pvem,incumbent out,,
116,ags-18.009,TEPEZALA,2021,0,1,1009,1009,pvem,1,LETICIA OLIVARES JIMENEZ,Reelected,MARICELA MACIAS GONZALEZ,pan-prd,0.008093995,0,0,0,,,incumbent out,2024,,
117,ags-19.009,TEPEZALA,2024,0,1,1009,1009,pan-pri-prd,1,LETICIA OLIVARES JIMENEZ,Term-limited-2027,CELIA VILLALOBOS MACIAS,morena,0.627539312,,,,,,,,,computos pre trife
121,ags-11.010,LLANO--EL,2001,0,1,1010,1011,pri,0,FRANCISCO SILVA MURILLO,Term-limited-p-lost,,pan,0.260672269,0,0,0,,,incumbent out,incumbent out,,
122,ags-12.010,LLANO--EL,2004,0,1,1010,1011,pan,0,JOSE DE JESUS RODRIGUEZ ONTIVEROS,Term-limited-p-lost,,pri-pvem-pt,0.06635974,0,0,0,,,incumbent out,incumbent out,,
123,ags-13.010,LLANO--EL,2007,0,1,1010,1011,pri,0,SALVADOR MARTIN DEL CAMPO,Term-limited-p-won,,pvem,0.146774652,0,0,0,,,incumbent out,incumbent out,,
124,ags-14.010,LLANO--EL,2010,0,1,1010,1011,pri-pvem-pna,0,JOSE LUIS MARTINEZ RODRIGUEZ,Term-limited-p-lost,,pt,0.037485357,0,0,0,,,incumbent out,incumbent out,,
125,ags-15.010,LLANO--EL,2013,0,1,1010,1011,pt,0,CESAR PEDROZA ORTEGA,Term-limited-p-won,DAVID NAJERA MORENO,pri,0.046684169,0,0,0,,,incumbent out,incumbent out,,
126,ags-16.010,LLANO--EL,2016,0,1,1010,1011,pna,0,RAMIRO SALAS PIZAÑA,Reran-beaten,JOSE JUAN REYES MARTIN DEL CAMPO,prd,0.143835616,0,0,0,,,incumbent out,pna,reran as pna and lost (was pri-pt-pna),
127,ags-17.010,LLANO--EL,2019,0,1,1010,1011,pt,0,CESAR PEDROZA ORTEGA,Reelected,RAMIRO SALAS PIZAÑA,pna,0.044661887,0,1,1,,,pna,pt,,
128,ags-18.010,LLANO--EL,2021,0,1,1010,1011,pt-morena-pna,0,CESAR PEDROZA ORTEGA,Term-limited-p-won,SALVADOR HERNANDEZ RAMOS,fxm,0.018724509,0,1,1,,,pt,incumbent out,,
129,ags-19.010,LLANO--EL,2024,0,1,1010,1011,morena,0,JORGE DELGADO IBARRA,2027,RICARDO CASTRO RANGEL,pt,0.07577942,,,,,,,,,computos pre trife
133,ags-11.011,SAN FRANCISCO DE LOS ROMO,2001,0,1,1011,1010,pri,0,REFUGIO LARA MARTINEZ,Term-limited-p-lost,,pan,0.112676056,0,0,0,,,incumbent out,incumbent out,,
134,ags-12.011,SAN FRANCISCO DE LOS ROMO,2004,0,1,1011,1010,pan,0,RAUL RAMIREZ FRANCO,Term-limited-p-lost,,pri-pvem-pt,0.076422964,0,0,0,,,incumbent out,incumbent out,,
135,ags-13.011,SAN FRANCISCO DE LOS ROMO,2007,0,1,1011,1010,pvem,0,EFRAIN CASTILLO VALDEZ,Term-limited-p-won,,pri,0.084653834,0,0,0,,,incumbent out,incumbent out,,
136,ags-14.011,SAN FRANCISCO DE LOS ROMO,2010,0,1,1011,1010,pri-pvem-pna,0,FRANCISCO JAVIER GUEL SOSA,Term-limited-p-won,,pan,0.2412759,0,0,0,,,incumbent out,incumbent out,,
137,ags-15.011,SAN FRANCISCO DE LOS ROMO,2013,0,1,1011,1010,pri,1,MARGARITA GALLEGOS SOTO,Term-limited-p-won,,pna,0.062243667,0,0,0,,,incumbent out,incumbent out,,
138,ags-16.011,SAN FRANCISCO DE LOS ROMO,2016,0,1,1011,1010,pri,1,IRAIS MARTINEZ DE LA CRUZ,Out-p-won,BEATRIZ MONTOYA HERNANDEZ,pan,0.03053647,0,0,0,,,incumbent out,incumbent out,,
139,ags-17.011,SAN FRANCISCO DE LOS ROMO,2019,0,1,1011,1010,pri,0,JUAN JOSE LOSOYA PONCE,Dead-p-lost,EFRAIN CASTILLO VALADEZ,morena,0.072870874,1,0,0,,,incumbent out,incumbent out,Died covid19 5ene2021,
140,ags-18.011,SAN FRANCISCO DE LOS ROMO,2021,0,1,1011,1010,pri,1,MARGARITA GALLEGOS SOTO,Reelected,KARINA IVETTE EUDAVE DELGADO,pan-prd,0.073181278,0,1,1,,,incumbent out,2024,,
141,ags-19.011,SAN FRANCISCO DE LOS ROMO,2024,0,1,1011,1010,pan-pri-prd,1,MARGARITA GALLEGOS SOTO,Term-limited-2027,ROCIO REYES GAYTAN,morena,0.070128332,,,,,,,,,computos pre trife
158,bc-11.001,ENSENADA,2001,0,2,2001,2001,pan-pvem,0,JORGE ANTONIO CATALAN SOSA,Term-limited-p-won,GILBERTO ANTONIO HIRATA CHICO,pri,0.008357813,0,0,0,,,incumbent out,incumbent out,,
159,bc-12.001,ENSENADA,2004,0,2,2001,2001,pan,0,CESAR MANCILLAS AMADOR,Term-limited-p-won,ROGELIO APPEL CHACON,pri-pvem-pt-pebc,0.02244776,0,0,0,,,incumbent out,incumbent out,,
160,bc-13.001,ENSENADA,2007,0,2,2001,2001,pan-pna-pes,0,PABLO ALFARO LOPEZ,Term-limited-p-lost,JAIME PALAFOX GRANADOS,pri-pvem-pebc,0.014594989,0,0,0,,,incumbent out,incumbent out,,
161,bc-14.001,ENSENADA,2010,0,2,2001,2001,pri-pvem,0,ENRIQUE PELAYO TORRES,Term-limited-p-won,HUGO ADRIEL ZEPEDA BERRELLEZA,pan-pna-pes,0.158102978,0,0,0,,,incumbent out,incumbent out,,
162,bc-15.001,ENSENADA,2013,0,2,2001,2001,pri-pvem-pt-pes,0,GILBERTO ANTONIO HIRATA CHICO,Term-limited-p-won,FRANCISCO JAVIER SANCHEZ CORONA,pan-prd-pna-pebc,0.228711271,0,0,0,,,incumbent out,incumbent out,,
163,bc-16.001,ENSENADA,2016,0,2,2001,2001,pri-pt-pvem-pna,0,MARCO ANTONIO NOVELO OSUNA,Out-p-won,CARLOS LOYOLA PETERSON,pan,0.032398019,0,0,0,,,incumbent out,incumbent out,,
164,bc-17.001,ENSENADA,2019,0,2,2001,2001,pvem-pt-trans-morena,0,ARMANDO AYALA ROBLES,Reelected,MARIA ELOISA TALAVERA HERNANDEZ,pan,0.34709926,0,0,0,,,incumbent out,pt-pvem-morena,,
165,bc-18.001,ENSENADA,2021,0,2,2001,2001,pt-pvem-morena,0,ARMANDO AYALA ROBLES,Term-limited-p-won,BRENDA MENDOZA KAWANISHI,pan-pri-prd,0.347532165,0,1,1,,,pt-pvem-morena,incumbent out,ayala robles senador 2024,
166,bc-19.001,ENSENADA,2024,0,2,2001,2001,morena,1,CLAUDIA JOSEFINA AGATON MUÑIZ,2027,IVAN NOLASCO CRUZ,pan,0.2553,,,,,,,,,
183,bc-11.002,MEXICALI,2001,0,2,2002,2002,pan-pvem,0,JAIME RAFAEL DIAZ OCHOA,Term-limited-p-won,JESUS AURELIO FLORES PEÑA,pri,0.151965216,0,0,0,,,incumbent out,incumbent out,,
184,bc-12.002,MEXICALI,2004,0,2,2002,2002,pri-pvem-pt-pebc,0,SAMUEL ENRIQUE RAMOS FLORES,Term-limited-p-lost,ALEJANDRO BAHENA FLORES,pan,0.000261695,0,0,0,,,incumbent out,incumbent out,,
185,bc-13.002,MEXICALI,2007,0,2,2002,2002,pan-pna-pes,0,RODOLFO VALDEZ GUTIERREZ,Term-limited-p-lost,JOAQUIN RAMIREZ CHACON,pri-pvem-pebc,0.08770168,0,0,0,,,incumbent out,incumbent out,,
186,bc-14.002,MEXICALI,2010,0,2,2002,2002,pri-pvem,0,JOSE FRANCISCO PEREZ TEJEDA PADILLA,Term-limited-p-lost,RAUL LOPEZ MORENO,pan-pna-pes,0.024721155,0,0,0,,,incumbent out,incumbent out,,
187,bc-15.002,MEXICALI,2013,0,2,2002,2002,pan-prd-pna-pebc,0,JAIME RAFAEL DIAZ OCHOA,Term-limited-p-won,ELI TOPETE ROBLES,pri-pvem-pt-pes,0.083825923,0,1,1,,,incumbent out,incumbent out,,
188,bc-16.002,MEXICALI,2016,0,2,2002,2002,pan,0,GUSTAVO SANCHEZ VASQUEZ,Reran-beaten,ANAHI MARTINEZ GARCIA,pri-pt-pvem-pna,0.066624756,0,0,0,,,incumbent out,pan,,
189,bc-17.002,MEXICALI,2019,0,2,2002,2002,pvem-pt-trans-morena,1,MARINA DEL PILAR AVILA OLMEDA,Out-p-won,GUSTAVO SANCHEZ VASQUEZ,pan,0.152212278,0,0,0,,,pan,incumbent out,,
190,bc-18.002,MEXICALI,2021,0,2,2002,2002,morena,1,NORMA ALICIA BUSTAMENTE MARTINEZ,Reelected,EVA MARIA VASQUEZ HERNANDEZ,pan-pri-prd,0.140069648,0,0,0,,,incumbent out,2024,,
191,bc-19.002,MEXICALI,2024,0,2,2002,2002,morena,1,NORMA ALICIA BUSTAMANTE MARTINEZ,Term-limited-2027,FRANCISCO JOSE FIORENTINI CAÑEDO,pan,0.2013,,,,,,,,,
208,bc-11.003,TECATE,2001,0,2,2003,2003,pri,0,JUAN VARGAS RODRIGUEZ,Term-limited-p-won,VICTOR ENRIQUE GONZALEZ HERRERA,pan-pvem,0.003311923,0,0,0,,,incumbent out,incumbent out,,
209,bc-12.003,TECATE,2004,0,2,2003,2003,pri-pvem-pt-pebc,0,JOAQUIN SANDOVAL MILLAN,Term-limited-p-lost,SALVADOR GARCIA ESTRELLA,pan,0.051877355,0,0,0,,,incumbent out,incumbent out,,
210,bc-13.003,TECATE,2007,0,2,2003,2003,pan-pna-pes,0,DONALDO EDUARDO PEÑALOSA AVILA,Term-limited-p-lost,CESAR MORENO GONZALEZ DE CASTILLA,pri-pvem-pebc,0.017604761,0,0,0,,,incumbent out,incumbent out,,
211,bc-14.003,TECATE,2010,0,2,2003,2003,pri-pvem,0,JAVIER IGNACIO URBALEJO CINCO,Term-limited-p-won,ALFONSO ALVAREZ JUAN,pan-pna-pes,0.27139809,0,0,0,,,incumbent out,incumbent out,,
